city,county,fips,lat,lng,without_hsd,with_hsd,somecollege,bachelors,lat_r,lng_r
dunseith,rolette,38079,48.81,-100.06,17.3,21.8,40,20.9,48.8,-100.1
mylo,rolette,38079,48.64,-99.62,17.3,21.8,40,20.9,48.6,-99.6
rolette,rolette,38079,48.66,-99.84,17.3,21.8,40,20.9,48.7,-99.8
rolla,rolette,38079,48.86,-99.62,17.3,21.8,40,20.9,48.9,-99.6
saint john,rolette,38079,48.94,-99.71,17.3,21.8,40,20.9,48.9,-99.7
belcourt,rolette,38079,48.84,-99.74,17.3,21.8,40,20.9,48.8,-99.7
nanson,rolette,38079,48.57,-99.78,17.3,21.8,40,20.9,48.6,-99.8
kelvin,rolette,38079,48.94,-100.05,17.3,21.8,40,20.9,48.9,-100.1
antler,bottineau,38009,48.97,-101.28,10.2,31.3,37.6,20.9,49.0,-101.3
bottineau,bottineau,38009,48.83,-100.45,10.2,31.3,37.6,20.9,48.8,-100.5
gardena,bottineau,38009,48.7,-100.5,10.2,31.3,37.6,20.9,48.7,-100.5
kramer,bottineau,38009,48.69,-100.71,10.2,31.3,37.6,20.9,48.7,-100.7
landa,bottineau,38009,48.9,-100.91,10.2,31.3,37.6,20.9,48.9,-100.9
lansford,bottineau,38009,48.63,-101.38,10.2,31.3,37.6,20.9,48.6,-101.4
maxbass,bottineau,38009,48.72,-101.14,10.2,31.3,37.6,20.9,48.7,-101.1
newburg,bottineau,38009,48.72,-100.91,10.2,31.3,37.6,20.9,48.7,-100.9
overly,bottineau,38009,48.68,-100.15,10.2,31.3,37.6,20.9,48.7,-100.2
westhope,bottineau,38009,48.91,-101.02,10.2,31.3,37.6,20.9,48.9,-101.0
willow city,bottineau,38009,48.6,-100.29,10.2,31.3,37.6,20.9,48.6,-100.3
souris,bottineau,38009,48.91,-100.68,10.2,31.3,37.6,20.9,48.9,-100.7
eckman,bottineau,38009,48.66,-101.06,10.2,31.3,37.6,20.9,48.7,-101.1
omemee,bottineau,38009,48.71,-100.36,10.2,31.3,37.6,20.9,48.7,-100.4
russell,bottineau,38009,48.67,-100.9,10.2,31.3,37.6,20.9,48.7,-100.9
carbury,bottineau,38009,48.89,-100.54,10.2,31.3,37.6,20.9,48.9,-100.5
canton city,pembina,38067,48.69,-97.67,10.4,38.6,32,19,48.7,-97.7
crystal,pembina,38067,48.6,-97.67,10.4,38.6,32,19,48.6,-97.7
drayton,pembina,38067,48.57,-97.18,10.4,38.6,32,19,48.6,-97.2
hamilton,pembina,38067,48.81,-97.45,10.4,38.6,32,19,48.8,-97.5
mountain,pembina,38067,48.69,-97.87,10.4,38.6,32,19,48.7,-97.9
neche,pembina,38067,48.99,-97.55,10.4,38.6,32,19,49.0,-97.6
pembina,pembina,38067,48.97,-97.24,10.4,38.6,32,19,49.0,-97.2
bathgate,pembina,38067,48.88,-97.48,10.4,38.6,32,19,48.9,-97.5
cavalier,pembina,38067,48.79,-97.62,10.4,38.6,32,19,48.8,-97.6
saint thomas,pembina,38067,48.62,-97.45,10.4,38.6,32,19,48.6,-97.5
walhalla,pembina,38067,48.92,-97.92,10.4,38.6,32,19,48.9,-97.9
akra,pembina,38067,48.78,-97.73,10.4,38.6,32,19,48.8,-97.7
bowesmont,pembina,38067,48.69,-97.18,10.4,38.6,32,19,48.7,-97.2
gardar,pembina,38067,48.59,-97.87,10.4,38.6,32,19,48.6,-97.9
leroy,pembina,38067,48.92,-97.75,10.4,38.6,32,19,48.9,-97.8
cando,towner,38095,48.49,-99.21,8.1,33.2,41,17.7,48.5,-99.2
egeland,towner,38095,48.63,-99.1,8.1,33.2,41,17.7,48.6,-99.1
hansboro,towner,38095,48.95,-99.38,8.1,33.2,41,17.7,49.0,-99.4
perth,towner,38095,48.72,-99.46,8.1,33.2,41,17.7,48.7,-99.5
rocklake,towner,38095,48.79,-99.25,8.1,33.2,41,17.7,48.8,-99.3
bisbee,towner,38095,48.63,-99.38,8.1,33.2,41,17.7,48.6,-99.4
maza,towner,38095,48.39,-99.2,8.1,33.2,41,17.7,48.4,-99.2
alsen,cavalier,38019,48.63,-98.7,10.5,27.6,44.2,17.7,48.6,-98.7
calio,cavalier,38019,48.63,-98.93,10.5,27.6,44.2,17.7,48.6,-98.9
calvin,cavalier,38019,48.85,-98.94,10.5,27.6,44.2,17.7,48.9,-98.9
hannah,cavalier,38019,48.97,-98.69,10.5,27.6,44.2,17.7,49.0,-98.7
langdon,cavalier,38019,48.76,-98.37,10.5,27.6,44.2,17.7,48.8,-98.4
loma,cavalier,38019,48.63,-98.53,10.5,27.6,44.2,17.7,48.6,-98.5
milton,cavalier,38019,48.63,-98.04,10.5,27.6,44.2,17.7,48.6,-98.0
munich,cavalier,38019,48.67,-98.83,10.5,27.6,44.2,17.7,48.7,-98.8
nekoma,cavalier,38019,48.58,-98.37,10.5,27.6,44.2,17.7,48.6,-98.4
osnabrock,cavalier,38019,48.67,-98.15,10.5,27.6,44.2,17.7,48.7,-98.2
sarles,cavalier,38019,48.95,-99,10.5,27.6,44.2,17.7,49.0,-99.0
wales,cavalier,38019,48.9,-98.6,10.5,27.6,44.2,17.7,48.9,-98.6
clyde,cavalier,38019,48.77,-98.9,10.5,27.6,44.2,17.7,48.8,-98.9
maida,cavalier,38019,49,-98.36,10.5,27.6,44.2,17.7,49.0,-98.4
olga,cavalier,38019,48.8,-98.04,10.5,27.6,44.2,17.7,48.8,-98.0
ambrose,divide,38023,48.95,-103.48,10.7,34.3,34.4,20.6,49.0,-103.5
crosby,divide,38023,48.91,-103.29,10.7,34.3,34.4,20.6,48.9,-103.3
fortuna,divide,38023,48.91,-103.78,10.7,34.3,34.4,20.6,48.9,-103.8
noonan,divide,38023,48.89,-103.01,10.7,34.3,34.4,20.6,48.9,-103.0
alkabo,divide,38023,48.86,-103.89,10.7,34.3,34.4,20.6,48.9,-103.9
bowbells,burke,38013,48.8,-102.25,12.7,30.8,36.9,19.6,48.8,-102.3
flaxton,burke,38013,48.9,-102.39,12.7,30.8,36.9,19.6,48.9,-102.4
lignite,burke,38013,48.88,-102.56,12.7,30.8,36.9,19.6,48.9,-102.6
portal,burke,38013,49,-102.55,12.7,30.8,36.9,19.6,49.0,-102.6
powers lake,burke,38013,48.56,-102.65,12.7,30.8,36.9,19.6,48.6,-102.7
columbus,burke,38013,48.9,-102.78,12.7,30.8,36.9,19.6,48.9,-102.8
larson,burke,38013,48.89,-102.86,12.7,30.8,36.9,19.6,48.9,-102.9
coteau,burke,38013,48.76,-102.32,12.7,30.8,36.9,19.6,48.8,-102.3
